Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14006_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,SE_A09003_001,SE_A09001_001,SE_A09001_002,SE_A09001_003,SE_A09001_004,SE_A09001_005,SE_A09001_006,SE_A09001_007,SE_A09001_008,SE_A09001_009,SE_A09001_010
"06037700102","Census Tract 7001.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7001.02",,,,4651,4651,24535.12,0.189564970957394,4651,3347,439,0,167,0,122,576,54648,2754,1778,1704,74,167,16,86,129,31,547,4597,372,4225,1423,2866,30,2754,2207,142,558,359,550,378,137,83,547
"06037700200","Census Tract 7002, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7002",,,,6908,6908,25596.38,0.269881945398975,6908,4576,248,105,235,0,534,1210,88502,5214,3486,3039,447,285,68,76,313,76,910,6908,222,6686,1287,5924,29,5214,4304,277,845,687,1441,647,407,0,910
"06037700300","Census Tract 7003, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7003",,,,5745,5745,24507.21,0.234420777239122,5745,4726,127,0,188,0,171,533,96673,3929,2002,1972,30,337,13,0,75,41,1461,5745,207,5538,1409,4514,27,3929,2468,218,462,515,637,570,66,0,1461
"06037700400","Census Tract 7004, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7004",,,,4680,4680,9211.022,0.508086910055182,4680,3742,41,0,386,0,175,336,94169,3099,1995,1878,117,83,0,34,114,195,678,4680,226,4454,1374,3364,26,3099,2421,198,701,552,506,303,128,33,678
"06037700501","Census Tract 7005.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7005.01",,,,4187,4187,18145.44,0.23074662894191,4187,3536,148,0,85,0,66,352,105670,2471,1656,1496,160,146,26,0,103,0,540,4187,113,4074,835,3703,25,2471,1931,292,624,331,313,203,148,20,540
"06037700502","Census Tract 7005.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7005.02",,,,3858,3858,19824.25,0.194610168077999,3858,2744,197,0,380,0,117,420,102436,2651,1637,1595,42,18,0,0,309,38,649,3858,107,3751,946,3016,24,2651,2002,239,397,560,544,211,51,0,649
"06037700600","Census Tract 7006, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7006",,,,4983,4983,2271.02,2.19416846718981,4983,4342,0,0,212,0,65,364,238125,2021,1085,1052,33,31,0,0,74,93,738,4983,69,4914,1308,4335,25,2021,1283,142,466,268,141,132,134,0,738
"06037700700","Census Tract 7007, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7007",,,,3530,3530,2589.551,1.36317079461372,3530,3019,2,8,50,0,147,304,220059,1513,1384,1259,125,12,0,0,45,0,72,3530,12,3518,897,3061,24,1513,1441,246,475,251,122,293,0,54,72
"06037700801","Census Tract 7008.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7008.01",,,,3858,3858,6868.578,0.561688316702626,3858,3048,150,0,444,0,62,154,76233,1508,725,725,0,17,0,0,180,70,516,3841,227,3614,1729,2787,26,1508,992,112,188,298,138,186,70,0,516
"06037700802","Census Tract 7008.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7008.02",,,,4036,4036,15252.61,0.264610492403826,4036,2764,184,0,705,0,273,110,111390,1891,1281,1261,20,12,0,10,148,41,399,3994,430,3564,1771,2446,23,1891,1492,326,382,305,148,237,83,11,399
"06037700901","Census Tract 7009.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7009.01",,,,4293,4293,10552.58,0.406820031598602,4293,2996,25,0,844,0,126,302,107361,1847,1444,1325,119,61,0,0,50,7,285,4293,99,4194,1119,3477,29,1847,1562,141,477,267,282,302,54,39,285
"06037700902","Census Tract 7009.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"700902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7009.02",,,,6528,6528,17714.76,0.368506340569918,6528,4521,55,0,1098,0,301,553,92453,3119,1884,1710,174,53,0,21,302,19,840,6528,329,6199,1931,4866,31,3119,2279,247,503,501,307,366,276,79,840
"06037701000","Census Tract 7010, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7010",,,,5178,5178,9427.486,0.549245015807023,5178,3957,133,16,577,0,18,477,114737,2824,1528,1331,197,170,0,0,237,34,855,5178,225,4953,1437,4193,20,2824,1969,449,579,375,307,208,17,34,855
"06037701201","Census Tract 7012.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7012.01",,,,3920,3920,5227.999,0.74980887942338,3920,3001,0,0,402,0,135,382,239559,1582,1075,1052,23,22,0,30,50,0,405,3920,11,3909,1158,3401,21,1582,1177,206,481,108,236,119,18,9,405
"06037701202","Census Tract 7012.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7012.02",,,,3490,3490,22334.16,0.15626288616009,3490,2934,12,0,253,7,44,240,158808,1882,1101,1009,92,0,22,36,43,18,662,3490,51,3439,846,2802,24,1882,1220,173,261,184,464,122,16,0,662
"06037701302","Census Tract 7013.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7013.02",,,,4829,4829,27422.33,0.176097340991541,4829,3905,68,136,386,0,34,300,101161,3079,1799,1696,103,64,57,196,140,20,803,4829,139,4690,1233,4056,27,3079,2276,328,643,465,328,392,76,44,803
"06037701304","Census Tract 7013.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"701304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7013.04",,,,6285,6285,7824.117,0.803285575068301,6285,4998,66,55,478,0,3,685,131983,3168,2018,1897,121,26,0,94,82,112,836,6285,81,6204,1639,5567,29,3168,2332,43,688,295,618,565,112,11,836
